uniprot	gene	synonyms
Q9BWH6	RPAP1	RPAP1,KIAA1403
Q9BWS9	CHID1	CHID1,GL008,PSEC0104,SB139
Q9BWT3	PAPOLG	PAPOLG,PAP2,PAPG
Q9BWU0	SLC4A1AP	SLC4A1AP,HLC3
Q9BWW4	SSBP3	SSBP3,SSDP,SSDP1
Q9BX66	SORBS1	SORBS1,KIAA0894,KIAA1296,SH3D5
Q9BX95	SGPP1	SGPP1,SPP1
Q9BXB4	OSBPL11	OSBPL11,ORP11,OSBP12
Q9BXB5	OSBPL10	OSBPL10,ORP10,OSBP9
Q9BXF6	RAB11FIP5	RAB11FIP5,GAF1,KIAA0857,RIP11
Q9BXJ9	NAA15	NAA15,GA19,NARG1,NATH,TBDN100
Q9BXK1	KLF16	KLF16,BTEB4,NSLP2
Q9BXK5	BCL2L13	BCL2L13,MIL1,CD003
Q9BXP5	SRRT	SRRT,ARS2,ASR2
Q9BXS9	SLC26A6	SLC26A6
Q9BXW6	OSBPL1A	OSBPL1A,ORP1,OSBP8,OSBPL1,OSBPL1B
Q9BXW9	FANCD2	FANCD2,FACD
Q9BY44	EIF2A	EIF2A,CDA02,MSTP004,MSTP089
Q9BY77	POLDIP3	POLDIP3,KIAA1649,PDIP46
Q9BY84	DUSP16	DUSP16,KIAA1700,MKP7
Q9BY89	KIAA1671	KIAA1671
Q9BYE7	PCGF6	PCGF6,MBLR,RNF134
Q9BYG3	NIFK	NIFK,MKI67IP,NOPP34
Q9BYG5	PARD6B	PARD6B,PAR6B
Q9BYK8	HELZ2	HELZ2,KIAA1769,PRIC285
Q9BYV8	CEP41	CEP41,TSGA14
Q9BYW2	SETD2	SETD2,HIF1,HYPB,KIAA1732,KMT3A,SET2,HSPC069
Q9BZ23	PANK2	PANK2,C20orf48
Q9BZ29	DOCK9	DOCK9,KIAA1058,ZIZ1
Q9BZ71	PITPNM3	PITPNM3,NIR1
Q9BZ95	NSD3	NSD3,WHSC1L1,DC28
Q9BZC7	ABCA2	ABCA2,ABC2,KIAA1062
Q9BZD4	NUF2	NUF2,CDCA1,NUF2R
Q9BZE9	ASPSCR1	ASPSCR1,ASPL,RCC17,TUG,UBXD9,UBXN9
Q9BZF2	OSBPL7	OSBPL7,ORP7
Q9BZH6	WDR11	WDR11,BRWD2,KIAA1351,WDR15
Q9BZI7	UPF3B	UPF3B,RENT3B,UPF3X
